%steal,%user,%idle,%iowait,%nice,%system,kB_wrtn,kB_wrtn/s,tps,kB_read/s,kB_read
0.00,1.06,98.68,0.19,0.00,0.08,3952126824.0,652.41,7.18,370.43,2243966314.0
0.00,10.83,88.50,0.00,0.00,0.67,0.0,0.0,0.0,0.0,0.0
0.00,10.75,88.25,0.17,0.00,0.83,52.0,52.0,2.0,0.0,0.0
0.00,10.66,88.26,0.00,0.00,1.08,0.0,0.0,0.0,0.0,0.0
0.00,10.92,88.33,0.00,0.00,0.75,0.0,0.0,0.0,0.0,0.0
0.00,10.52,88.56,0.00,0.00,0.92,0.0,0.0,0.0,0.0,0.0
0.00,10.68,88.41,0.00,0.00,0.92,0.0,0.0,0.0,0.0,0.0
0.00,11.17,88.33,0.00,0.00,0.50,0.0,0.0,0.0,0.0,0.0
0.00,10.92,88.17,0.17,0.00,0.75,12.0,12.0,2.0,0.0,0.0
0.00,10.79,88.55,0.00,0.00,0.67,0.0,0.0,0.0,0.0,0.0
0.00,11.00,88.42,0.00,0.00,0.58,56.0,56.0,9.0,0.0,0.0
0.00,10.54,88.55,0.00,0.00,0.92,0.0,0.0,0.0,0.0,0.0
0.00,11.01,88.32,0.00,0.00,0.67,0.0,0.0,0.0,0.0,0.0
0.00,10.98,88.02,0.17,0.00,0.83,36.0,36.0,2.0,0.0,0.0
0.00,10.83,88.33,0.00,0.00,0.83,0.0,0.0,0.0,0.0,0.0
0.00,10.79,88.63,0.00,0.00,0.59,116.0,116.0,26.0,0.0,0.0
0.00,11.06,88.19,0.00,0.00,0.75,0.0,0.0,0.0,0.0,0.0
0.00,10.68,88.41,0.00,0.00,0.92,0.0,0.0,0.0,0.0,0.0
0.00,10.83,88.17,0.25,0.00,0.75,12.0,12.0,2.0,0.0,0.0
0.00,11.17,88.33,0.00,0.00,0.50,0.0,0.0,0.0,0.0,0.0
0.00,10.93,88.48,0.00,0.00,0.58,0.0,0.0,0.0,0.0,0.0
0.00,10.85,88.48,0.00,0.00,0.67,0.0,0.0,0.0,0.0,0.0
0.00,11.17,88.33,0.00,0.00,0.50,0.0,0.0,0.0,0.0,0.0
0.00,10.85,88.48,0.00,0.00,0.67,0.0,0.0,0.0,0.0,0.0
0.00,11.40,87.94,0.17,0.00,0.50,12.0,12.0,2.0,0.0,0.0
0.00,10.85,88.48,0.00,0.00,0.67,0.0,0.0,0.0,0.0,0.0
0.00,10.78,88.55,0.00,0.00,0.67,0.0,0.0,0.0,0.0,0.0
0.00,10.84,88.32,0.00,0.00,0.83,0.0,0.0,0.0,0.0,0.0
0.00,10.93,88.49,0.00,0.00,0.58,0.0,0.0,0.0,0.0,0.0
0.00,11.01,88.24,0.17,0.00,0.58,12.0,12.0,2.0,0.0,0.0
0.00,11.25,88.33,0.00,0.00,0.42,12.0,12.0,2.0,0.0,0.0
0.00,10.77,88.48,0.00,0.00,0.75,0.0,0.0,0.0,0.0,0.0
0.00,10.90,88.19,0.00,0.00,0.92,0.0,0.0,0.0,0.0,0.0
0.00,10.83,88.33,0.00,0.00,0.83,0.0,0.0,0.0,0.0,0.0
0.00,10.76,88.24,0.17,0.00,0.83,16.0,16.0,2.0,0.0,0.0
0.00,10.93,88.32,0.00,0.00,0.75,20.0,20.0,1.0,0.0,0.0
0.00,11.06,88.35,0.00,0.00,0.58,0.0,0.0,0.0,0.0,0.0
0.00,10.69,88.55,0.00,0.00,0.75,0.0,0.0,0.0,0.0,0.0
0.00,10.67,88.25,0.00,0.00,1.08,0.0,0.0,0.0,0.0,0.0
0.00,11.02,88.31,0.17,0.00,0.50,20.0,20.0,2.0,0.0,0.0
0.00,11.39,88.20,0.00,0.00,0.42,36.0,36.0,8.0,0.0,0.0
0.00,10.93,88.41,0.00,0.00,0.67,0.0,0.0,0.0,0.0,0.0
0.00,10.71,88.62,0.00,0.00,0.67,0.0,0.0,0.0,0.0,0.0
0.00,10.84,88.49,0.00,0.00,0.67,0.0,0.0,0.0,0.0,0.0
0.00,10.93,88.24,0.17,0.00,0.67,28.0,28.0,2.0,0.0,0.0
0.00,10.99,88.26,0.00,0.00,0.75,0.0,0.0,0.0,0.0,0.0
0.00,11.17,88.33,0.00,0.00,0.50,0.0,0.0,0.0,0.0,0.0
0.00,11.00,88.33,0.00,0.00,0.67,0.0,0.0,0.0,0.0,0.0
0.00,10.92,88.33,0.00,0.00,0.75,0.0,0.0,0.0,0.0,0.0
0.00,10.92,88.25,0.08,0.00,0.75,12.0,12.0,2.0,0.0,0.0
