%steal,%user,%idle,%iowait,%nice,%system,kB_wrtn,kB_wrtn/s,tps,kB_read/s,kB_read
0.00,1.06,98.68,0.19,0.00,0.08,3952126580.0,652.41,7.18,370.43,2243966314.0
0.00,14.64,84.61,0.00,0.00,0.75,0.0,0.0,0.0,0.0,0.0
0.00,14.68,84.65,0.00,0.00,0.67,0.0,0.0,0.0,0.0,0.0
0.00,14.82,84.60,0.00,0.00,0.58,36.0,36.0,8.0,0.0,0.0
0.00,14.58,84.50,0.08,0.00,0.83,76.0,76.0,2.0,0.0,0.0
0.00,14.37,84.80,0.00,0.00,0.84,0.0,0.0,0.0,0.0,0.0
0.00,14.45,84.88,0.00,0.00,0.67,0.0,0.0,0.0,0.0,0.0
0.00,14.70,84.80,0.00,0.00,0.50,0.0,0.0,0.0,0.0,0.0
0.00,14.65,84.68,0.00,0.00,0.67,0.0,0.0,0.0,0.0,0.0
0.00,14.69,84.72,0.00,0.00,0.58,0.0,0.0,0.0,0.0,0.0
0.00,14.82,84.43,0.08,0.00,0.67,72.0,72.0,2.0,0.0,0.0
0.00,14.65,84.60,0.00,0.00,0.75,0.0,0.0,0.0,0.0,0.0
0.00,14.76,84.74,0.00,0.00,0.50,0.0,0.0,0.0,0.0,0.0
0.00,14.54,84.80,0.00,0.00,0.67,0.0,0.0,0.0,0.0,0.0
0.00,14.43,84.65,0.00,0.00,0.92,0.0,0.0,0.0,0.0,0.0
0.00,14.38,84.87,0.08,0.00,0.67,12.0,12.0,2.0,0.0,0.0
0.00,14.95,84.30,0.00,0.00,0.75,0.0,0.0,0.0,0.0,0.0
0.00,14.76,84.65,0.00,0.00,0.58,0.0,0.0,0.0,0.0,0.0
0.00,14.50,84.67,0.00,0.00,0.83,12.0,12.0,1.0,0.0,0.0
0.00,14.75,84.58,0.00,0.00,0.67,0.0,0.0,0.0,0.0,0.0
0.00,14.30,84.78,0.08,0.00,0.84,20.0,20.0,2.0,0.0,0.0
0.00,14.57,84.51,0.00,0.00,0.92,0.0,0.0,0.0,0.0,0.0
0.00,14.81,84.53,0.00,0.00,0.67,0.0,0.0,0.0,0.0,0.0
