time,instructions(system mode),instructions(user mode),cycles(user mode),cycles(system mode)
1.000150275,10290544,6146085964,2976930868,35403385
2.000353167,10942449,6758465011,3275601215,38410405
3.000516154,10959287,6743693844,3275040717,38944177
4.000670062,11125299,6789383948,3282107235,39249054
5.000821345,10951125,6794167404,3276094930,37802559
6.000974474,11127304,6801445948,3281890037,38770657
7.001141299,10932847,6795755991,3276487710,37958430
8.001309146,11136458,6797807357,3280963196,38737901
9.001465626,10932740,6791022264,3276052065,37958996
10.001623977,11132355,6797412236,3281282469,39049806
11.001778434,10943031,6791789148,3276846253,37945552
12.00194705,11133075,6786590380,3277153758,38340599
13.002111187,10955733,6796492054,3280260317,37917168
14.002279833,10973678,6780801410,3275834812,37886900
15.00243754,11188643,6782473115,3282837854,39351998
16.002606056,10980969,6764621623,3274735963,38458284
17.002761079,10970287,6759711903,3274267013,38408143
18.002917346,11187316,6766044705,3280716474,38961856
19.003074206,10947764,6772151364,3276020299,37917383
20.003245756,10958427,6761704161,3275482794,37998537
21.003409849,11149279,6761746227,3281355379,38440773
22.00357154,11002633,6741895560,3276902878,38114047
23.003729796,10953193,6730978756,3269538405,37955438
24.003890164,10950325,6754784636,3276716478,38023033
25.00405337,10969989,6750603797,3276273211,38412339
26.004232975,11134632,6755550330,3279545282,39008445
27.004394728,10971833,6767309185,3278473566,38208489
28.004555809,10932988,6768364615,3276639398,38254238
29.00472729,11209437,6797986703,3281155315,39503845
30.00489211,11135981,6808381980,3283266443,38429873
31.005056574,11098249,6794825633,3279588582,38703994
32.005237307,11006443,6784433098,3279437049,38374995
33.00539408,11109844,6794388758,3281018612,39216229
34.005556616,10939792,6792700182,3276528034,38625556
35.005720387,11121622,6802084409,3281297615,39065057
36.005887821,11134613,6790334512,3280107748,39809481
37.006070098,10931855,6781175734,3275196201,38705560
38.006239907,11155033,6790520668,3281618270,39113606
39.006416034,11038559,6777535923,3276223247,38553195
40.006586771,11035425,6800611747,3282246091,38554779
41.006747494,11125660,6802980615,3280883856,38619271
42.006911494,11112527,6811781126,3281884275,38785010
43.007078093,11112256,6815181057,3280860972,38534582
44.007245627,10944881,6805549651,3277417368,38233215
45.007409065,11111011,6816619854,3282717476,38558024
46.007571288,11149070,6817548062,3281003470,39247968
47.007748945,11110686,6808637725,3281055825,39023758
48.007913325,11114293,6805562986,3281601431,39358490
49.008080494,11110775,6811128132,3277318664,38759219
50.008288438,10955858,6806500608,3280239650,37996696
51.008447104,11106966,6809144275,3281777051,38847971
52.00862316,11127438,6804687352,3281818883,39164719
53.008803175,11124232,6804900965,3279605636,40078519
54.008965058,10925027,6802703890,3277560238,39021052
55.009144446,11175032,6806155163,3282423249,39984218
56.009311248,11107571,6811597294,3281177476,39293724
57.00947546,11103851,6813189885,3281056977,39296468
58.009641325,11114571,6795042112,3276344127,39552491
59.009803213,10927737,6809887139,3279495206,38596266
60.009963861,11124863,6807198496,3278915064,39052259
61.010146493,11121719,6804956073,3276309243,38854215
62.010331312,11131015,6808076669,3281159379,38981725
63.010494129,11121482,6810944776,3276885021,39103271
64.010653571,10941495,6817221088,3280776224,38247593
65.01081876,11132676,6805624677,3279470521,39047000
66.010982078,11112037,6814679446,3281267155,38638957
67.011164833,11111928,6817949009,3282011539,38571880
68.011333837,11106824,6803921796,3281793179,38423633
69.011494458,10934033,6803656222,3276318852,38129741
70.011657558,11158016,6811217385,3282183309,38840228
71.011819833,11110969,6820201433,3282031969,38794043
72.01197709,11097540,6825001364,3283421454,38603015
73.012154147,11099651,6812919193,3280812087,38341060
74.012320812,11116672,6820939588,3282268163,38564952
75.012480047,11170240,6814413433,3284265891,38729555
76.012648874,10960444,6795985404,3275410394,38007871
77.01282772,11136517,6813069479,3281172216,38572380
78.012985959,11147665,6821410940,3281989296,38752527
79.013161294,11201899,6820347178,3281239442,40384657
80.013330324,11181633,6819043657,3281535337,40044906
81.013490687,11126911,6813824981,3281043670,38752558
82.013654071,11135756,6818886855,3282581984,38440080
83.013819703,10975172,6810340447,3278688178,37656581
84.013977886,11159416,6815758497,3282820497,37905267
85.014155461,11139571,6808795252,3283175214,38014307
86.014320219,11128114,6813939893,3282057945,37974934
87.014479251,11120373,6818520270,3283681142,37593049
88.014638231,11135263,6819005307,3282983530,37552744
89.014801512,11015719,6802205974,3277273573,37103590
90.014959538,11135701,6810662407,3282998009,37560831
91.01513209,11123554,6816015905,3283990069,37411659
92.015304801,11172684,6820734185,3283497984,37752516
93.015466069,11140502,6813331863,3281833419,38718185
94.015636281,11145021,6815861357,3281930793,38908732
95.015803489,10954051,6791936607,3275805353,38060405
96.015966105,11128985,6813236514,3282050251,38668196
97.016142319,11121733,6808108102,3281895957,38599972
98.016306551,11203581,6817140612,3282369309,39145349
99.016467844,11141674,6813046988,3282777999,38878363
100.016644562,11147314,6814357849,3282484372,38854221
101.016809503,11147468,6808818075,3276703494,38755950
102.016968896,10973061,6815943972,3282424145,38124008
103.017146335,11137128,6803406338,3282061275,38623911
104.017316914,11178896,6812579515,3282220684,39182851
105.017477545,11159384,6814911146,3282137000,38937696
106.017640706,11157562,6802503111,3278901787,39007571
107.017814901,10951539,6801211410,3275746362,38057031
108.017980202,11124044,6814899002,3282121775,39050526
109.018151625,11162548,6811602846,3281359682,39255457
110.018316362,11109467,6810729207,3281528771,38424407
111.018480485,10977351,6759359655,3265413269,37558903
112.018640082,11104876,6814870923,3282308750,38545128
113.018806491,11177507,6801645112,3280263991,39102952
114.018977123,11161723,6813695275,3283439530,38807724
115.019145699,11103178,6806503639,3279606100,38719380
116.019309137,10961332,6805834042,3276245032,38368681
117.019472366,11129339,6813828051,3281690734,38531152
118.019635264,11128271,6811956982,3281274841,38207821
119.019798089,11157454,6810240633,3281024227,39205348
120.019956579,11134543,6807030731,3280402051,38826858
121.020133255,10961802,6805361740,3275679624,38198287
122.020301114,11109283,6813536264,3282362517,38317419
123.020476824,11179582,6815400905,3282038307,39274192
124.02065037,11128379,6809808013,3282218734,39591135
125.020815227,11182837,6809992480,3280723695,39226552
126.020978151,11162505,6796647944,3275915135,38798041
127.021142495,10942519,6803854844,3281701630,37921527
128.021306721,11141619,6800310003,3280694751,38932823
129.02147017,11127738,6810701367,3282058506,38897070
130.02163322,11157455,6814555824,3282622104,38541587
131.021806975,10952451,6794259192,3276032442,38247055
132.021975189,11127514,6810856710,3283053612,38410583
133.022143273,11137666,6811975827,3281765185,38514704
134.022311136,11136265,6793706576,3282537358,38555859
135.022475882,10962963,6785848874,3278161589,37617419
136.022637812,11147600,6779593301,3280366344,39236690
137.022806152,11161767,6784429531,3280876423,38676094
138.02298622,10984841,6775963222,3275669876,38531033
139.023152021,11175056,6792393820,3282773933,38814021
140.023317393,10986919,6772608671,3275575016,38339379
141.02348171,11134070,6773483010,3280317091,38680132
142.02365312,11128673,6771820239,3279689369,38581631
143.023816301,11003961,6776056255,3280652385,38151696
144.023991871,11116464,6759370856,3279396781,38461282
145.024174211,11001330,6772992802,3279839175,38325967
146.024342811,11113813,6761464862,3277398001,38738270
147.024504372,11007905,6764818950,3279345144,38395080
148.024671446,11127588,6773876703,3279090320,39035827
148.448472364,4763130,2867465072,1387790317,16663434
