time,LLC-loads,stalled-cycles-frontend,LLC-load-misses,instructions
1.000142472,1593688,855538120,834802,6703072432
2.000326676,1566143,856266494,827851,6750033983
3.00048282,1545255,855805579,818001,6728145960
4.000649902,1580914,858660332,836786,6782780404
5.000804634,1552893,859599722,822824,6777459289
6.000970881,1551215,848345167,820982,6793984180
7.001133701,1573051,850733774,833467,6803352786
8.001292889,1539846,848415142,817297,6794517996
9.001451004,1567853,852434299,834256,6791585593
10.001609371,1554204,848749216,822045,6789637273
11.001770157,1547828,849111487,820674,6788375412
12.001936652,1574691,851994134,833806,6788328301
13.002094708,1550917,853523308,818439,6797302206
14.002302152,1550324,851271027,816508,6784978425
15.002456633,1551638,855299078,819486,6761738838
16.002648617,1572612,860138951,832853,6773720135
17.00281111,1567280,855369559,825106,6763420350
18.002969892,1465205,955566661,768638,6423808401
19.003131555,1574383,856487902,834962,6759125737
20.003295222,1559430,856360330,821438,6771089108
21.003454539,1556163,858725442,818384,6748102143
22.003628736,1547292,857074166,820506,6746361119
23.003787908,1550218,857326336,820609,6746098826
24.003949157,1549012,856918944,820347,6748439343
25.004104348,1564663,858202751,824140,6744051979
26.004261973,1555556,858100077,820711,6745424502
27.004426527,1582087,857334016,836113,6754681938
28.004585899,1548975,854915941,822875,6778775970
29.004747799,1553021,854267721,823438,6779388522
30.004904993,1571240,854271948,832011,6781239838
31.005063763,1550126,850034747,819489,6780486734
32.005235498,1578750,856925946,838021,6787803100
33.005398715,1469187,954759367,775335,6421861613
34.005549534,1561365,855904138,834250,6787035462
35.005711222,1539244,854908188,819334,6772773247
36.005881201,1572881,853779905,837267,6784778529
37.006045307,1551825,855225312,824434,6782691842
38.006207726,1576737,854931188,835382,6781200209
39.006363494,1548250,854458140,820156,6787511031
40.006536772,1571783,852905302,833999,6786482820
41.006697743,1558820,850774473,822663,6808677438
42.006864815,1579993,852004092,838547,6812970121
43.007025076,1591267,853705082,842775,6807868899
44.007182619,1554780,848470900,821900,6807673569
45.007338227,1574546,852306569,834143,6811818588
46.007500722,1572084,857429852,834700,6807099831
47.007706421,1572888,850754282,838325,6805735157
48.007863932,1480109,955754167,783705,6464602515
49.008039754,1585690,853451647,840021,6816264904
50.008195436,1573586,853342456,833165,6810846538
51.008352325,1553475,848286313,821543,6801996401
52.008525873,1578063,859139635,837742,6803145230
53.008681755,1578331,855430959,844468,6805592144
54.008848492,1585214,850882081,844238,6807607195
55.009012907,1568023,852230658,830412,6807761935
56.009166345,1597854,855360490,846707,6808377552
57.009323116,1587841,853063391,841870,6813309887
58.009493992,1562664,849778301,827340,6805386582
59.00964946,1586241,853833906,842124,6808993425
60.009814463,1581434,852297980,840476,6813913463
61.009991554,1576136,851062927,838578,6802370193
62.010175242,1557706,852102376,826661,6812061677
63.010337256,1580142,851385011,840999,6812604816
64.010521891,1595414,857605983,843835,6802879143
65.010685563,1552448,849430915,823064,6809318388
66.010840972,1495328,959397019,790313,6458337980
67.011001084,1581878,851675116,839036,6814277702
68.01116848,1574163,852864400,834875,6812012833
69.011331661,1550103,848980554,822084,6809387460
70.011501796,1573246,851747857,836423,6812739401
71.011667947,1575174,853812132,836445,6809790015
72.011836512,1590177,852617217,840303,6800822072
73.012001388,1558171,850878325,822882,6816169944
74.012156399,1578982,850156349,837738,6818365912
75.012318399,1584527,854213438,838470,6805606548
76.012474737,1562043,853427667,825223,6798742330
77.012662814,1584766,852923468,839969,6812766865
78.012819746,1591576,852618332,838734,6801075681
79.012977375,1593357,853077146,840502,6785845834
80.013130977,1616138,852500930,858670,6807230739
81.013315408,1583340,851689697,838178,6811143984
82.013482968,1546842,847420351,821936,6808686886
83.013641853,1583999,852780744,843346,6808060636
84.01379737,1565753,852232117,830384,6814707614
85.013957456,1541877,851446571,816797,6801927564
86.014176076,1569354,856398668,836764,6806639607
87.014336893,1499519,957374103,787908,6456404250
88.014496219,1596441,850078919,843241,6818280513
89.014650067,1555017,848462935,818307,6806836728
90.01480992,1487978,956060299,776961,6449778885
91.014964998,1572240,857552682,825069,6804409613
92.01517428,1560015,849210209,822672,6803978314
93.015346028,1572333,855977303,827260,6805886303
94.015497624,1585751,853555981,842336,6811831015
95.015656381,1588823,851110766,842219,6806965732
96.015815434,1559668,849898707,825316,6809058938
97.015972905,1579563,856188976,838520,6810474062
98.016133936,1583690,853402043,839327,6814203144
99.016291633,1587208,849626169,841596,6806344169
100.016452528,1562041,851351312,824234,6806520805
101.016607969,1582844,852008454,838453,6812190520
102.016761693,1578329,853981643,836193,6807327929
103.01691917,1560783,850427907,823916,6794146611
104.017079888,1589589,855479008,843796,6804419305
105.017239589,1596955,850935861,842132,6811888961
106.017404295,1570826,851304542,827834,6798071736
107.01764022,1593158,854082651,842515,6804041059
108.017795684,1598903,854633361,843091,6805894137
109.017956961,1562575,850711726,827027,6796847929
110.018128455,1590862,853030141,839411,6800362911
111.018317387,1581959,857182701,833976,6800344886
112.018475967,1557490,849276552,821648,6798557583
113.018628145,1581362,854922703,833679,6806795562
114.018784611,1591987,853554441,838335,6808735047
115.019003067,1619758,850491715,857271,6794165653
116.019165754,1659392,852574269,883997,6807395483
117.019321051,1614128,852376581,854864,6811801129
118.019483332,1578208,846889297,831632,6806820112
119.01965449,1607226,853237880,843890,6811212773
120.019808512,1514787,959522402,797901,6442734753
121.019969912,1594510,851026860,842986,6808388739
122.020127801,1585978,849582500,835999,6809130676
123.02030102,1595885,852925085,840544,6812820311
124.020455098,1585951,853560213,842269,6813474208
125.02061315,1557564,850039452,823695,6802749998
126.020769816,1492413,959500804,787517,6451268262
127.020929582,1574540,852051042,835586,6813954781
128.02110228,1575285,850513174,837249,6816909761
129.021260319,1560546,848080040,825983,6806018019
130.021417115,1585047,853049846,839896,6807614902
131.021575298,1595747,852035344,842787,6809920861
132.021732819,1552749,851675434,821411,6796291951
133.021888537,1579027,852529533,834856,6814079823
134.022062653,1581381,853847522,834286,6811031420
135.022233929,1576673,851848824,831894,6786955232
136.022397481,1569949,853575207,826999,6786336109
137.022556839,1588501,856680667,843535,6775356282
138.022733189,1493813,963468024,784256,6420307310
139.022894568,1652863,854077449,881695,6774917889
140.02305484,1629479,853263912,866697,6780957134
141.023281689,1634597,854016623,871633,6771437362
142.023444505,1604195,859546110,844940,6774663023
143.02360844,1591131,855064606,843363,6762388214
144.02376339,1624340,856943547,858168,6779778687
145.023924913,1560963,852046462,823592,6766517596
146.024085475,1606060,856758753,849864,6774875770
147.024243479,1589715,853156802,840711,6761907537
148.024416243,1654385,855333006,881432,6766756879
149.024578714,1588184,859033157,835334,6774610499
149.142402196,193925,100611466,102555,791704045
