time,dTLB-load-misses,iTLB-load-misses,dTLB-store-misses,iTLB-loads,instructions
1.000145851,945423,209692,14716,2560186,6730407459
2.000347292,945411,209463,13714,2495362,6772945151
3.000505211,950516,208687,13758,2510481,6753025229
4.000669902,944352,209985,13481,2545709,6776419310
5.000836191,945575,210349,13499,2537429,6801556378
6.000996756,945245,210022,13332,2525792,6788529719
7.001154438,958215,210177,13448,2533911,6801044120
8.00131747,959940,210264,13086,2553645,6790521970
9.001479792,968684,210031,13282,2526093,6794888440
10.001641515,972948,209954,13334,2575705,6796441090
11.001800349,970228,210101,13315,2524901,6782402909
12.001970324,970519,209935,13487,2504789,6797905873
13.002158352,916812,215443,12230,3010627,6414648186
14.002325215,969998,209553,13155,2654982,6766996793
15.002489919,966525,209230,13533,2776519,6765317100
16.002650545,909262,214521,12239,3071671,6403206409
17.002807955,978420,209159,13898,2645059,6761872692
18.002968112,985520,209401,13094,2590012,6759515571
19.003138147,973165,209450,13125,2557784,6765178059
20.003300638,974206,209435,13865,2615806,6775564369
21.003471293,941665,209252,12522,2598229,6752956825
22.00362345,964691,209258,13390,2665320,6748316489
23.003776615,965899,209105,13171,2606715,6749423517
24.003931291,965244,209155,13606,2591981,6747323747
25.004115869,963660,209164,13487,2549672,6744820972
26.004303489,963616,209080,13464,2551527,6753854464
27.004460786,953851,209312,13082,2588758,6752785218
28.004618978,975194,210273,13659,2555756,6774986517
29.004774829,979897,210327,15275,2560987,6796155774
30.00493113,973833,210684,14318,2568974,6783046234
31.005101816,922416,215615,14312,3056802,6422201860
32.005260891,981750,210567,14826,2598727,6787963837
33.005417822,993226,210332,13705,2594182,6791569287
34.005578824,1000752,210323,13293,2583503,6779210510
35.005735604,1004536,210420,13774,2570643,6794935670
36.005916343,1003614,210307,13989,2543406,6787771197
37.006089133,1001957,210873,13566,2563855,6785409493
38.006278971,996761,210490,13679,2580542,6794897079
39.006484177,999762,210558,13379,2600368,6788594219
40.006638887,995274,210802,13421,2604966,6803202734
41.006798673,969075,211217,13934,2554944,6815570837
42.00697686,972682,211395,13802,2562520,6814473583
43.00713644,914459,216692,12581,2976444,6430253477
44.007295443,971004,211727,13640,2538592,6820652025
45.007452485,969346,211158,14091,2562514,6818025887
46.007613442,969881,211684,13637,2537403,6816293165
47.007773101,974232,211368,14049,2575501,6810621840
48.007943667,969910,211492,13883,2571588,6817744097
49.008097497,963507,211633,13244,2555769,6817792142
50.008273381,960569,211217,13640,2596232,6814270664
51.00848819,960888,211180,13187,2546243,6799355143
52.008673252,967603,211332,13655,2507572,6814474682
53.008833863,982361,211432,13940,2540786,6819455809
54.009006319,979161,211377,14323,2519513,6813210703
55.009166707,977249,211480,14124,2549955,6817051001
56.009331067,980531,211411,14279,2560281,6812239195
57.00948574,975876,211257,14165,2527238,6815935814
58.009644218,975109,211668,14384,2551947,6815709886
59.009824899,979381,211187,14804,2533874,6812290191
60.009998318,974192,211581,13767,2517887,6821795214
61.010158513,971111,211075,13691,2557685,6799090402
62.010333792,975679,211546,13778,2576231,6818083168
63.010485733,975745,211293,13837,2528580,6816165518
64.010652009,976136,211301,13997,2523526,6811787706
65.010822054,973216,211297,13791,2546754,6814935025
66.010979887,971590,211424,13629,2567333,6809573509
67.011141308,973115,211289,13864,2546376,6813014521
68.011298071,988858,211528,15889,2582031,6822499234
69.011456985,986777,211223,15693,2612387,6811798415
70.011619686,987285,211562,15599,2563642,6821221374
71.011779836,984567,211381,15045,2556925,6802680358
72.011962032,958239,211188,13827,2573388,6813797063
73.012141298,956001,211415,13930,2547310,6815071755
74.012316438,954731,211337,13962,2553834,6815157634
75.012481052,954818,211653,13705,2521704,6818998844
76.012645123,940334,211477,13664,2539065,6812900887
77.012801221,948498,211450,13607,2514199,6820899060
78.012974537,950993,211386,13936,2542099,6817714412
79.013141226,938153,216578,13411,3020959,6420009216
80.013303332,1006126,211131,14349,2568254,6814497102
81.01345831,956264,211007,14348,2543913,6809195211
82.013617305,927970,216905,12147,3015303,6438856614
83.013770364,990846,211571,12101,2530027,6807652697
84.013953254,960791,211785,12528,2561154,6825471224
85.014111954,980356,211772,12420,2553026,6823958369
86.014289726,983889,211395,12353,2588521,6822694445
87.014445514,953708,211412,12679,2524822,6825317485
88.014616093,924312,211401,12519,2593091,6814179983
89.014773857,925625,211426,11848,2512488,6813418823
90.014950874,919868,211494,12098,2574585,6825738298
91.015109145,869635,216780,10760,3008950,6435693931
92.015266196,944449,211474,12468,2527451,6821657961
93.015432674,963554,211289,12644,2563656,6821228833
94.015593334,979264,211531,13724,2532935,6807602580
95.015751868,981394,211455,13234,2506347,6820696590
96.015925534,988115,211463,14430,2534872,6820724590
97.016088737,930347,217008,12915,3033685,6434292325
98.016257035,988783,211503,13937,2590211,6818775449
99.016477028,984386,211515,13921,2511223,6812141580
100.016639624,929312,216938,12606,3061550,6439550935
101.01679653,986267,211384,13781,2550723,6819274736
102.016973609,982345,211493,13467,2580084,6818011104
103.017139387,976640,211526,13419,2577248,6811545915
104.017300649,979832,211350,13466,2576744,6813043883
105.017456558,977201,211371,13595,2552983,6811119879
106.017611687,976438,211367,13443,2563964,6809863568
107.01777829,979853,211176,13669,2543620,6812460645
108.017959735,977479,211504,13434,2546327,6806928649
109.018125048,977989,211413,13417,2543063,6813846704
110.018287935,957603,211361,14128,2541052,6812306332
111.018464356,942886,211163,13232,2525933,6805711508
112.018630622,945555,211555,13696,2608304,6807635145
113.018788781,947980,211406,13530,2559787,6816240361
114.01896456,960820,211443,13846,2534477,6813534297
115.019138003,943567,211621,12981,2519775,6815919099
116.019300676,937767,211569,12792,2637081,6818800292
117.019458346,938728,211162,12464,2563377,6800978364
118.019617502,944834,211389,13442,2514686,6813987441
119.019786951,951343,211313,13649,2578786,6817044812
120.019943708,961248,211059,13805,2547210,6809447778
121.020102241,950277,211263,14730,2631090,6797517124
122.020272038,953923,211455,13868,2541742,6810810199
123.020449172,957776,211610,13727,2532618,6817781890
124.020607881,981013,211133,14061,2574749,6810174554
125.020773974,980677,210972,13568,2549710,6808169471
126.020933557,976233,211233,12614,2598519,6813202746
127.021090156,917400,216755,11916,3001825,6428539898
128.021249803,962125,211027,13641,2546172,6812683315
129.021405785,977320,211446,13154,2551993,6806372208
130.021561821,977018,211431,12980,2516732,6816589088
131.021717757,956507,211263,14344,2547684,6812326757
132.021888879,951228,211347,13516,2534137,6814480487
133.022050573,948455,211567,13619,2581485,6815925576
134.022211379,944670,211255,13204,2516596,6800482784
135.022384607,942106,210575,12705,2639229,6796815982
136.022543267,918190,215983,12393,3117382,6391933120
137.022701025,971139,210666,13669,2486260,6791666670
138.022877316,949160,210577,13554,2613738,6773217512
139.023037508,933925,210585,12877,2608299,6791500009
140.023198945,933729,210719,13159,2559448,6791648542
141.023360269,936221,210331,12572,2563640,6768672713
142.023519834,944450,210443,13376,2561555,6774241856
143.023676216,944467,210098,13069,2596574,6770183489
144.023852548,936350,210285,13136,2626996,6782890397
145.024011781,900959,216060,12627,3138185,6384638744
146.024178914,952502,210594,13538,2579651,6771119138
147.024360092,944262,210219,13082,2558790,6784926657
148.024521062,885684,216096,11522,3087446,6385010399
149.024695708,950731,210236,14276,2601328,6775974614
149.179513994,146932,32957,2365,388779,1042308348
