time,L1-icache-load-misses,branch-misses,branches,instructions
1.000150989,12711289,3657754,942757658,6694071055
2.000353655,12624128,3650784,946721040,6726912463
3.000534503,12649159,3680138,949337441,6743868654
4.000707081,12722549,3682525,949175510,6742817781
5.000880886,12638492,3696699,950469892,6747204544
6.001054268,12570351,3692101,951679627,6755466725
7.001226281,12608927,3683995,949766547,6744884458
8.001410589,12602299,3702916,952733623,6757604745
9.001583606,12514832,3729344,955691189,6773024562
10.001775542,12574740,3689463,950406091,6746840060
11.001952564,12530636,3733713,957675027,6782927413
12.002126289,12495417,3736860,957537837,6783068720
13.002311089,12558259,3715124,954550302,6768437381
14.002498079,12561138,3700930,952701755,6759137976
15.002679137,12581694,3693917,951273212,6750490893
16.002870159,12592284,3740216,957673094,6783922836
17.003043135,12612726,3694595,952155302,6757731968
18.003215321,12598411,3712414,953308320,6759627933
19.003389205,12584174,3700847,952742402,6761309542
20.003579893,12565557,3686127,950869344,6749518862
21.003769586,12625276,3699069,951820828,6753515275
22.003947817,12649172,3684101,949752629,6745976573
23.004134843,12587815,3701797,953142510,6763354843
24.004313845,12569245,3712126,954452348,6768407301
25.004486687,12599778,3735197,957230597,6783465647
26.004675564,12573999,3713785,955013166,6774365360
27.004869988,12620191,3680010,948415245,6733689113
28.005050055,12624634,3689406,950651615,6751976693
29.005252023,12570574,3724890,955885779,6775136047
30.005427902,12628040,3705660,955848664,6782462099
31.005604445,12679974,3687575,950197162,6750153739
32.005813022,12564236,3733881,958577638,6790758805
33.005988276,12683276,3685974,949768374,6745993569
34.006160445,12613685,3682447,949310656,6739406438
35.006332051,12583722,3715701,955239840,6775528615
36.006505567,12724403,3683771,948603888,6740309432
37.006681838,12622881,3709962,954203910,6766818857
38.006874388,12593275,3705335,953660336,6766780571
39.00705202,12655550,3690523,951953168,6761089807
40.007221946,12563849,3685090,953413446,6766287941
41.007396055,12628371,3706764,953824068,6767338567
42.007567415,12495082,3697064,951407182,6748193379
43.007745294,12610461,3685223,950499064,6749569577
44.007939193,12583142,3690384,951174577,6750773053
45.008120765,12624016,3686360,951050217,6754527856
46.008301056,12557702,3718901,955938396,6777532704
47.008489556,12570977,3711094,954382315,6769454673
48.008663569,12652865,3707451,953915957,6767787871
48.94042811,11756212,3450205,887468107,6297832120
