time,L1-dcache-load-misses,L1-dcache-prefetch-misses,L1-dcache-store-misses,instructions
1.000123018,36600292,7437146,12143171,6128601889
2.000315142,36775473,7498703,12185952,6167709601
3.000477567,36794803,7477088,12209527,6157516401
4.000637961,36838655,7481659,12223566,6154436528
5.000803084,36708729,7473556,12176891,6159007409
6.000963264,36808299,7461435,12233105,6151320400
7.001128647,36752213,7447774,12211331,6141352898
8.001331625,36773519,7492670,12189680,6172179625
9.001494092,36771401,7467260,12201915,6153534091
10.001658238,36627944,7418116,12166668,6112798585
11.00183856,36824548,7456547,12238899,6143321216
12.002008512,36755511,7458468,12202034,6148600914
13.002172785,36835595,7476918,12224366,6155426008
14.002333219,36851445,7491736,12223852,6151950665
15.002492072,36773782,7442267,12217093,6142911173
16.002668601,36800190,7483023,12204255,6154969363
17.002837306,36753617,7454643,12205693,6155851703
18.003001642,36586091,7445252,12132615,6132005156
19.003212011,36770656,7459724,12206916,6148795605
20.003368996,36785115,7490012,12199905,6163412496
21.003581816,36791051,7473250,12210533,6151777394
22.003742044,36821778,7474010,12219444,6149249097
23.003919762,36783531,7470482,12211576,6157904267
24.004085541,36791838,7479023,12200864,6164236056
25.004248881,36733842,7467100,12173514,6160830436
26.004408111,36799634,7457441,12212533,6151037214
27.004565714,36781911,7480305,12200239,6155692702
28.004729231,36846952,7464786,12242545,6148462068
29.004923293,36764653,7483080,12185391,6160277121
30.00509111,36794701,7483439,12200112,6154139813
31.005249559,36781039,7467188,12202091,6154623970
32.005427569,36742461,7494035,12172935,6172967972
33.00558605,36719518,7441360,12193734,6146479556
34.005747063,36746143,7468145,12193428,6154435879
35.005922787,36807964,7480588,12206283,6153423968
36.006085291,36751029,7468301,12185858,6157233720
37.006251205,36795459,7460993,12208496,6157279252
38.006412577,36797025,7470185,12205415,6164248462
39.006581513,36800072,7503133,12191610,6178738126
40.006746792,36838970,7458709,12236451,6149304166
41.006909648,36774766,7471206,12201256,6156567384
42.007069682,36769929,7503630,12185220,6170448942
43.007293093,36725823,7482850,12165061,6171167262
44.007452008,36794196,7463343,12213742,6146426336
45.007611454,36799912,7472857,12219650,6155344023
46.007773575,36763902,7510403,12188909,6176203332
47.007966635,36766329,7469795,12211146,6154032203
48.008128182,36819189,7459661,12233736,6142669882
49.008290232,36796076,7501228,12217164,6167723150
50.008454018,36408309,7421893,12090684,6090715961
51.008627627,36751017,7474723,12189670,6152533075
52.00879453,36840951,7485249,12224965,6163966821
53.008958072,36766015,7474260,12194239,6164154796
54.009126019,36736386,7480733,12181457,6148429417
55.00929614,36836496,7479701,12226812,6155468426
56.009459256,36815528,7480396,12218488,6154991081
57.009623839,36774667,7487780,12191540,6169695814
58.009789907,36752825,7470362,12186357,6156227296
59.009985087,36789426,7454007,12207741,6135238605
60.0101641,36613330,7428700,12154534,6119115550
61.010328844,36809666,7497716,12210600,6169726148
62.010513009,36758762,7470345,12198815,6156681322
63.010668933,36792260,7478382,12188163,6169652062
64.010831537,36771167,7448690,12213196,6151595625
65.010988119,36731283,7444453,12197675,6138077783
66.011153901,36786641,7479526,12209011,6158903441
67.011316241,36798949,7484376,12193431,6168616194
68.011480677,36789155,7489532,12185672,6169890411
69.011646798,36759824,7481360,12186132,6163568259
70.011805773,36793144,7470944,12206126,6157638047
71.011971123,36778466,7464358,12213075,6160104833
72.01213879,36739518,7459181,12195927,6155868715
73.012301468,36756544,7469708,12199506,6161692927
74.012465824,36702683,7478093,12172010,6166704208
75.012625467,36803663,7465891,12217803,6147966127
76.012789287,36757994,7441432,12201698,6155023848
77.012977617,36761957,7453318,12203817,6149222094
78.013137352,36491375,7416834,12091974,6124327317
79.013299056,36790110,7469954,12213611,6151479111
80.013460458,36779999,7466592,12208071,6149974769
80.797149259,28825103,5839439,9573688,4819958418
