time,LLC-prefetches,LLC-prefetch-misses,instructions
1.000134368,8465245,1365369,6121421036
2.000323417,8560453,1378493,6166030413
3.000474774,8543807,1378974,6156395814
4.00065001,8531826,1382244,6144566815
5.000813125,8538898,1372825,6161130487
6.000980229,8510097,1377427,6136709600
7.001135555,8535856,1378582,6147200829
8.001318208,8546212,1392940,6161702422
9.001471523,8498775,1374846,6145367055
10.001628285,8518940,1388193,6143953274
11.00178067,8480142,1378464,6138285510
12.001937342,8476536,1370532,6137132052
13.0020875,8506830,1381609,6148472764
14.002241978,8531053,1385476,6150705855
15.002393272,8535655,1383473,6155563364
16.002551206,8519873,1377053,6150318578
17.002703189,8497412,1373421,6138329019
18.002853009,8577661,1385413,6167109476
19.003011264,8539023,1386956,6144674081
20.003167443,8547570,1379274,6152610839
21.003334069,8541244,1381794,6149159966
22.003510822,8528951,1376543,6135658651
23.00368727,8539730,1379987,6159285907
24.003837213,8550013,1372185,6160995390
25.003988129,8530382,1372548,6156175474
26.004140648,8543173,1376898,6148022933
27.004291886,8539824,1377277,6155293754
28.004457945,8533226,1380898,6143295472
29.004643735,8561629,1380937,6157804910
30.004799947,8515503,1368790,6151538143
31.004980682,8556368,1371560,6154223168
32.005136561,8548388,1364407,6173338060
33.005319147,8517731,1367445,6138487175
34.005484399,8557635,1380085,6160996222
35.005639293,8522789,1367805,6152794436
36.005790454,8550200,1380861,6162378370
37.005940685,8519981,1377521,6150171286
38.006090226,8536708,1374368,6158172975
39.006239932,8567758,1379850,6174690623
40.006394441,8539984,1378434,6153664754
41.006546796,8521383,1373214,6154896218
42.006723519,8535161,1376828,6171496834
43.006900293,8556990,1366594,6171869005
44.007061627,8515168,1362872,6139558376
45.007264608,8551184,1366455,6158353964
46.007436118,8564960,1380985,6178562670
47.007622817,8520772,1361323,6151967081
48.007775705,8473885,1358097,6154157117
49.007927424,8500991,1364460,6155514090
50.008086346,8507441,1377321,6152152875
51.008243581,8547084,1371237,6164211426
52.008398131,8556024,1383768,6158600561
53.00856567,8538607,1374829,6157457891
54.008726065,8521433,1373413,6157222212
55.008881447,8524456,1377966,6150489618
56.009035488,8522706,1379526,6151928005
57.009200712,8557493,1376726,6172131976
58.009376393,8525810,1371047,6153106523
59.009538617,8501793,1362607,6144762692
60.00969123,8509448,1375601,6142600301
61.009844191,8552876,1385566,6165588423
62.010008675,8530845,1379153,6158943559
63.010161736,8486554,1327571,6174267355
64.010332071,8514641,1370051,6152523145
65.010516966,8487237,1361594,6139469817
66.010677884,8519208,1367820,6153791932
67.01083551,8571550,1382851,6167928233
68.010992919,8554604,1384367,6169815421
69.011209472,8540244,1374099,6161001723
70.011377183,8539892,1373960,6152006428
71.011530873,8547365,1375845,6154601945
72.011683852,8533343,1376196,6159403774
73.011836903,8535670,1379470,6155164743
74.011994885,8545951,1371826,6173325454
75.012149996,8510274,1357166,6154818025
76.012316144,8458510,1325100,6154943522
77.012472016,8492985,1344159,6149282256
78.012626975,8511939,1347386,6164702548
79.012787571,8512766,1367120,6144684574
80.012942957,8476755,1336635,6150292360
80.793039645,6649305,1062741,4798783386
