time,instructions(system mode),instructions(user mode),cycles(user mode),cycles(system mode)
1.000152575,47285404,4542173553,2732886327,209335420
2.000342994,51947449,4995435262,3014790332,230479819
3.000503938,51791427,4982228393,3008898193,230340724
4.00066849,52006429,4999037195,3015247637,231183419
5.000834651,51864320,4992956237,3016551975,230851483
6.000995159,51927170,4993009648,3013940205,231138329
7.001153631,52309843,5018913481,3026595583,232358558
8.00131008,52163871,5009411470,3022830680,231470876
9.001477308,52048243,5001512429,3020333416,231301956
10.001639845,51847694,4992678863,3015203350,230493332
11.001803913,52008237,4998091106,3018948862,231259568
12.001961243,52061346,5004545559,3020284613,231335281
13.002119226,52097796,5002807831,3019254537,231611393
14.002273178,51927170,4993595126,3015201067,231314404
15.002439644,52199930,5013909648,3026967187,231368661
16.002621026,51775598,4985715630,3009983762,230415921
17.002784136,51851856,4987031858,3010882660,230256400
18.002950395,52174820,5010428523,3025695666,231415606
19.003106878,52453640,4990099296,3015127492,231633753
20.003261852,52321655,4992983651,3015772584,231467589
21.003418943,51964727,4988772083,3015249333,230767914
22.003583225,52310482,5020117614,3032307278,232434302
23.003744431,51819275,4978145039,3005022573,229815976
24.003904739,51269948,4949725890,2992055012,229099079
25.004088441,51731555,4981745762,3008103760,230438600
26.004245888,52103615,5004833177,3024896063,231755905
27.004399122,52171736,5015282008,3027074521,231793506
28.004562913,51931551,4962762423,2998336401,229431367
29.004717586,51674109,4936064290,2987786742,228894713
30.004875953,52442131,4986000395,3012319015,231028386
31.005038446,51951847,4981476075,3008777727,230340994
32.005217187,52056246,5011057444,3026085766,231595730
33.005381045,51906121,4991765442,3014164319,230859355
34.005542798,51905323,4989400648,3014832379,230822233
35.005712552,52295189,5012137215,3027764841,232546307
36.005871553,51601681,4963757372,3002724918,229852023
37.006025679,51809077,4979482657,3007565650,230268449
38.006187034,51437022,4950596079,2993450021,230275002
39.006345486,51797960,4984298966,3009659038,230680345
40.006526981,51908481,4990089094,3014879765,231329665
41.006706533,51959376,4993389400,3018912376,231961929
42.006862761,51902861,4988383776,3012355281,231318286
43.007017804,52337105,5017759229,3030774385,232238525
44.007187579,52118527,5004531417,3026626572,231446328
45.007356268,51974523,4989477571,3018624319,231200361
46.007524431,51890341,4990008939,3018367102,231347803
47.007718555,52243744,5013095991,3025428790,232243475
48.007884613,51673363,4973749532,3007044786,230700711
49.008048639,51882467,4984224612,3014089528,231801089
50.008217664,51986935,4990441206,3018523475,231735538
51.008373575,52249506,5014152692,3029268709,233279499
52.008537216,51546634,4969793851,3002155108,230348464
53.008692695,52208046,5016697677,3030124631,232657982
54.008846938,51621091,4973338522,3005384350,230115086
55.009017884,52437403,5012853315,3030807789,233567794
56.00917252,51697768,4983927759,3013031627,230930508
57.009329036,52030957,4999009754,3019685871,231749676
58.009491247,51878541,4989824152,3014248711,230959219
59.009648783,51977966,4999499899,3020485010,231760742
60.009802549,51651736,4977402876,3009163144,230470725
61.009965168,51617435,4963885707,3000012536,230287106
62.010156275,51946906,4998925561,3021652227,231303982
63.010322641,51823711,4963806472,3001232348,229795576
64.0105052,51900726,4990212408,3019651188,230967096
65.010672124,51945260,4991787897,3015643562,230925159
66.010827196,51963350,4996926651,3019207608,231231187
67.010981714,52006203,5001404270,3020926262,231332866
68.011138703,52096952,5001905130,3025904682,231911581
69.011299309,51414225,4955174177,2996574395,229427422
70.011473511,51720090,4975317565,3007480277,230871286
71.011637173,52127303,4998662510,3020997457,232295897
72.011791447,52258770,5021780858,3035094979,232312500
73.011944413,52012782,5002875578,3026308240,231287924
74.012118534,51856634,4986673256,3016137665,230394048
75.012291131,52017615,4998311477,3020874556,231557967
76.012462629,52286158,5015334627,3029694519,231843781
77.012652639,51852798,4990574074,3016069184,231246268
78.012816074,51952733,4990949102,3019796168,232055266
79.012984389,51957997,4991377210,3014772744,232456290
80.013148859,51619451,4978879191,3009937953,230463397
81.01330449,51881293,4989252790,3012630278,231841955
82.013469389,52289252,5016500660,3032411241,232801559
83.013631209,51901118,4987143281,3015463656,230935324
84.013788696,51881859,4984949412,3014059135,231344131
85.013957836,51729379,4979331605,3008330672,231059763
86.014113164,51620523,4969812719,3002454374,230884045
87.014270039,51233151,4923303728,2977447651,228549989
88.01444714,51550194,4969773554,3004648820,229881778
89.014601274,52076677,4994883948,3020639607,231978020
90.014762425,51574270,4953653883,2995326581,228961436
91.014924595,52093348,5005929577,3023457169,231410977
92.015112691,51899594,4984546091,3014779724,231800835
93.015277008,51780047,4983087242,3012577928,230909815
94.015442413,52064753,4997493591,3019194891,231799926
95.015613534,51339449,4951365510,2992431845,229169008
96.015768882,52004192,4998683904,3019666964,231194098
97.015926904,51954919,4995046226,3020494954,231330099
98.016099729,51726808,4977377676,3009007316,230407842
99.016251381,51858237,4985262138,3012685602,230907003
100.016428865,51970660,4999199558,3021259664,230916958
101.016589267,51959610,4986962755,3015413639,231300032
102.016746396,51954941,5001481179,3022747121,231332301
103.016900725,51739544,4980378966,3008418973,230406766
104.017055637,51887911,4992235445,3015283560,231146190
105.017222721,51672590,4976790281,3008409067,230376061
106.017392695,52156768,5007341922,3025057901,232101242
107.01758,52148200,5001303630,3022716282,232063956
108.017742291,51845748,4998005159,3018458378,231140275
109.017905364,52285938,5020547150,3032908827,232398532
110.018059055,51872881,4991178805,3014913941,230624248
111.018218629,51638116,4964671003,3003785339,230133729
112.018404862,51930228,5004776472,3023795019,230878726
113.018562904,51480256,4966606766,3004992955,229850678
114.018731762,51680655,4972474154,3007082997,230556401
115.018900076,52246112,5009283880,3025993366,232497167
116.019063703,51599857,4965674773,3003782478,230470558
117.019220663,52034966,4995410848,3018648161,232597290
118.019386038,52144801,5002820257,3022968062,232844947
119.019547087,51855757,4986708796,3014884403,231265283
120.019701736,51583261,4973811408,3004440899,229709152
121.019855584,52268188,5016745212,3032309273,232543088
122.02000938,51625250,4971862868,3003684821,229738630
123.020216182,52346336,5022168782,3031444904,232002009
124.020387435,51888318,4990747318,3015564127,230282980
125.020567612,51786431,4974157493,3006992334,230243075
126.020726473,52107266,5010589203,3028634037,231459251
127.020888202,52154886,5000978101,3024025467,231744247
128.02104369,51519140,4978186179,3009324360,229219275
129.021200866,51964630,4995741255,3021092969,230519146
130.021367761,51516224,4959960493,2997585215,229112404
131.021524251,51950968,4992035498,3014481538,230087997
132.021690604,51654441,4971258950,3004860470,229146606
133.021847349,51930946,4993413157,3016130275,229553087
134.022003595,51744871,4981981541,3010097596,229438893
135.02216937,51879317,4992323426,3016305267,229797229
136.022335297,51936192,4995722448,3021805984,230188695
137.022513348,52070506,5001105199,3023069393,230573524
138.02270234,52269462,5022946235,3038081015,232454969
139.022863991,51938687,4989712754,3016389039,231119443
140.023024416,52167948,5009038915,3027477270,232036444
141.023179754,51833435,4984275323,3014464388,230824966
142.023359526,52223809,5012549443,3026076350,231885034
143.023516665,51833989,4987543643,3016642979,230863871
144.02366965,51892232,4988461575,3015381135,229941366
145.023836273,51833641,4985249076,3014025881,230929714
146.023999116,51767843,4976424967,3010374652,230816978
147.02415256,51857424,4994503687,3017393326,230850999
148.024317765,52135288,5010701614,3027501112,231347493
149.024485118,51393230,4959893732,2997766560,229177483
150.024645025,51473038,4961825207,3002609102,229716868
151.024810867,52049048,5003179778,3025727172,231583517
152.024966698,52282979,5017768268,3032230164,231933164
153.025145681,51800777,4984471416,3014830983,230551169
154.025310052,52060005,4996172626,3019252176,231785141
