time,cache-references,mem-loads,cache-misses,mem-stores,instructions
1.000165626,18893607,0,8574045,112568716,4943703079
2.000391381,19346298,0,8788074,115548046,5063233557
3.000585827,19130173,0,8707634,114033973,5015263672
4.000778608,19304724,0,8782875,115410295,5061603922
5.000966631,19281244,0,8769186,115151512,5050396775
6.00117311,19230093,0,8763405,114212954,5046139664
7.001373935,19205492,0,8783383,114909068,5063550927
8.001591033,19320605,0,8805385,115359970,5076991383
9.00180343,19152490,0,8738663,114982380,5036900454
10.002019578,19277205,0,8750227,115513949,5045223303
11.002216029,19308192,0,8798126,115427457,5074529417
12.002423189,19226913,0,8763179,115445185,5050949285
13.002629138,19290017,0,8787155,115091073,5065966409
14.002820148,19220179,0,8769781,114575624,5050241887
15.003024051,19311797,0,8775097,115787711,5057519034
16.003216408,19237792,0,8757711,115367497,5052267208
17.00340456,19239717,0,8738644,114842773,5036461282
18.003593126,19330244,0,8782522,115693839,5067642755
19.003783335,19248269,0,8759377,114818942,5046418610
20.003970851,19244371,0,8763378,114724843,5047312238
21.00419135,19240402,0,8753765,114762100,5041233925
22.004382072,19274669,0,8786431,115291509,5065766313
23.004589548,19222467,0,8747822,114268279,5039504730
24.004782017,19165982,0,8713359,114542205,5015922547
25.004972272,19196305,0,8735998,115141512,5032006738
26.005176559,19362069,0,8808381,115541920,5073739944
27.005373662,19356881,0,8780312,115563742,5060999939
28.005570038,19228495,0,8731763,114662641,5028678775
29.005764229,19236698,0,8751772,114326371,5040993362
30.005951561,19244421,0,8742248,114571034,5040468678
31.006148615,19200843,0,8746027,114865552,5033229994
32.006339782,19273639,0,8756720,114822977,5052076271
33.006548694,19365187,0,8788253,115281185,5066304370
34.006755049,19228827,0,8759153,114785837,5047064548
35.006947366,19329302,0,8811035,115307548,5076799786
36.007144145,19174306,0,8733242,115209496,5032022032
37.007337503,19211590,0,8741755,114765782,5033548833
38.007542561,19120967,0,8734383,113904897,5025030364
39.007752291,19226648,0,8768264,114356204,5047881335
40.007944046,19333696,0,8778965,115698334,5058376141
41.008136915,19212588,0,8757024,114665156,5041582778
42.008327847,19314564,0,8811733,114929724,5069839090
43.008520334,19337218,0,8800439,115144858,5067832558
44.008711086,19330798,0,8780728,115219701,5057921355
45.008946012,19248232,0,8768028,114765353,5039027820
46.009148682,19342396,0,8769242,115309781,5059404765
47.00934269,19228955,0,8777011,114671604,5055375314
48.009535784,19166130,0,8742580,114469917,5033545376
49.009726776,19253190,0,8760797,114257544,5037233625
50.009934715,19272958,0,8790279,114688486,5057456185
51.010125029,19332839,0,8816271,115327004,5074663711
52.010317768,19162463,0,8746492,114754288,5035110386
53.010508811,19341718,0,8798440,115666623,5066236455
54.010720167,19266199,0,8753054,115312288,5043626812
55.010912032,19385963,0,8788027,114810629,5059176420
56.011104042,19263448,0,8770412,114467704,5049967811
57.011310207,19296766,0,8732673,115187888,5034092222
58.011502131,19291974,0,8786258,114652855,5062849309
59.011695736,19160350,0,8723571,114447878,5023620992
60.011913938,19292687,0,8746424,114886548,5042919124
61.012108203,19202287,0,8736374,114528403,5032707638
62.012318698,19353258,0,8799790,115634820,5062844013
63.012523479,19281609,0,8739329,114742428,5038980255
64.012716523,19397957,0,8818871,115955962,5082365338
65.01291077,19277815,0,8746396,114598554,5039233723
66.01310156,19303460,0,8754084,115217339,5049476995
67.013294949,19256268,0,8779903,115546270,5061709953
68.013488286,19301240,0,8776612,115392411,5060008123
69.013692106,19058663,0,8682234,113846828,4995871633
70.013891467,19231313,0,8757626,114417181,5043646281
71.014087709,19408227,0,8785976,115006095,5058168221
72.01428048,19434092,0,8817184,115492779,5080360007
73.014474608,19397393,0,8750824,115965709,5044147861
74.014706222,19340905,0,8786553,115342042,5064326162
75.014900878,19348383,0,8772269,115304071,5054107565
76.015111306,19360279,0,8803197,115010417,5071786500
77.015320265,19246978,0,8759736,114847603,5039469930
78.01553994,19325804,0,8772386,114780289,5048420126
79.015735805,19292252,0,8760404,114984707,5039461000
80.015957933,19199127,0,8745290,114368625,5034477348
81.01615325,19251387,0,8757208,114554955,5041285418
82.016344358,19440709,0,8805337,115333438,5068554496
83.016536691,19289745,0,8751680,115036480,5038296931
84.01672757,19272381,0,8757276,114277876,5041097275
85.016917749,19195690,0,8732294,114288662,5025494872
86.017137525,19200738,0,8721106,114039817,5019682367
87.017327755,19168147,0,8718851,113535630,5016613472
88.01752887,19172657,0,8717766,113990641,5021147213
89.017750546,19178298,0,8729877,114756517,5027709312
90.01795249,19181705,0,8738331,114233392,5036113608
91.018176004,19171575,0,8754195,114527516,5043209358
92.018392386,19187826,0,8750400,114343569,5032482203
93.018593403,19341188,0,8767316,115085783,5058277008
94.01878457,19158414,0,8708694,114070502,5019729007
95.018980012,19134666,0,8721465,113684514,5021529651
96.019171072,19295938,0,8763487,114886433,5048842954
97.019361626,19246762,0,8734321,114929094,5034290460
98.019562493,19256117,0,8749193,114501868,5030637237
99.019771698,19313719,0,8778379,114712226,5061000792
100.019963462,19291150,0,8731904,114932706,5032242133
101.020153405,19308299,0,8756333,114705988,5043478052
102.020347078,19276512,0,8735083,114857126,5031404668
103.020551017,19389743,0,8810381,115416099,5076650485
104.020741208,19183708,0,8737322,114607145,5034699995
105.020932423,19271701,0,8752721,114078027,5039469486
106.021124799,19339330,0,8764807,115026516,5051396001
107.021318143,19342352,0,8783197,114939618,5063533456
108.021504964,19253035,0,8763373,114750460,5043426712
109.021710596,19428711,0,8811933,115133160,5076405278
110.021902169,19287236,0,8757477,114909556,5042236592
111.02211057,19170088,0,8727074,114191798,5019843675
112.022300774,19221929,0,8721209,114624413,5021483887
113.022489771,19257487,0,8737669,114823095,5033616763
114.022708858,19245251,0,8770684,114571529,5052161045
115.022922574,19172140,0,8735537,114435675,5033972594
116.023115348,19212086,0,8759820,114383975,5037613762
117.023317558,19298407,0,8757990,114770405,5039450128
118.023506092,19352930,0,8817365,115447625,5072901525
119.023699464,19235656,0,8739160,114810243,5029480314
120.023889144,19242300,0,8748634,115005736,5036551962
121.024096491,19273470,0,8781905,115063725,5058789882
122.024289758,19206806,0,8736233,114433843,5033421666
123.024498303,19347687,0,8775082,115257865,5055941468
124.024695893,19215303,0,8755188,114347972,5040373699
125.024888919,19182976,0,8741216,114390943,5033257296
126.025087044,19350287,0,8779949,115341714,5059447442
127.025293294,19226359,0,8744933,114816447,5035013474
128.025484969,19299022,0,8759168,115303103,5049187929
129.025678968,19205345,0,8730053,114354158,5029229530
130.025873375,19231667,0,8742146,114417167,5038697433
131.026068567,19222768,0,8728751,114014222,5028790830
132.026266127,19077366,0,8681784,114101477,5001731761
133.026473534,19189382,0,8715399,114498873,5031232095
134.026666459,19296159,0,8766242,114818806,5053189447
135.026886687,19267312,0,8741774,115634066,5043569019
136.027080454,19324565,0,8778790,115316782,5062729150
137.027272121,19395949,0,8757342,115545257,5046443375
138.027462607,19307088,0,8781533,114709292,5056542812
139.027676523,19225187,0,8779143,114579359,5056277530
140.027872702,19291818,0,8774570,114602162,5052432221
141.028067033,19234301,0,8748626,114433032,5040374375
142.02825957,19300089,0,8797717,115176164,5066671839
143.028451633,19227904,0,8729810,114559486,5029160922
