time,r01c2,FP Instructions,SSE Instructions,instructions
1.000113559,5383453190,10413168,338,4978021352
2.000303464,5459885340,10529419,5,5048192913
3.00044856,5414074348,10455441,9,5006457438
4.000592113,5462259163,10520429,7,5051129128
5.000734978,5453942171,10497093,7,5043221743
6.000893205,5447601439,10522600,7,5038263809
7.001038194,5462132028,10470551,7,5051954208
8.001180843,5468756086,10485777,7,5057418985
9.001332668,5434752519,10478866,9,5025357273
10.001475534,5463956316,10548105,18,5052260980
11.001619219,5455507999,10526717,7,5044453719
12.001779931,5471890045,10521667,0,5060224475
13.001923612,5458623275,10492584,0,5048112565
14.002065048,5452084846,10522787,0,5042051636
15.002215525,5471259427,10525332,0,5059093789
16.00237927,5442321277,10498309,0,5032030948
17.002523533,5441137857,10536697,0,5030810215
18.002672912,5473567648,10537303,0,5061238037
19.002825923,5450139831,10502864,0,5039961536
20.002967488,5449242969,10533884,0,5039040517
21.003113222,5445290171,10547147,0,5034905120
22.003263482,5472638358,10520344,0,5061060348
23.003406442,5428435208,10504125,0,5019806332
24.003571673,5428279187,10511861,0,5018899062
25.00371706,5422083350,10528043,0,5012403835
26.003862968,5478035430,10534387,0,5065884586
27.004007991,5453312679,10544465,0,5041633756
28.004173849,5436939998,10546547,0,5027153275
29.004324847,5427179261,10481172,0,5018675832
30.004487271,5448252330,10500143,0,5038274663
31.004634201,5432339899,10501522,0,5022749510
32.00479931,5459243098,10523708,0,5048417924
33.004945874,5460244260,10536567,0,5049453736
34.005106068,5462237834,10552753,0,5050877189
35.005257162,5464605201,10508378,0,5053483000
36.005423996,5431472518,10522309,0,5021287784
37.005570637,5457721693,10496017,0,5047179177
38.005719189,5404244345,10481305,0,4996819134
39.005874738,5446166020,10494897,0,5037046192
40.006021124,5460498784,10532582,0,5048744251
41.006173593,5451494326,10524206,0,5041483676
42.006336716,5437642552,10469317,0,5028685510
43.0064955,5475574030,10542166,0,5063979234
44.006649531,5455284202,10529354,0,5044031318
45.006801603,5450191670,10504924,0,5040150809
46.006945198,5452150335,10490686,0,5041449087
47.007114091,5481004372,10510647,0,5070004217
48.007275369,5422377477,10481077,0,5014002942
49.007426435,5457216464,10523744,0,5047038108
50.007570915,5441759333,10497540,0,5032139704
51.007733744,5478890126,10521572,0,5067143992
52.007904003,5426159324,10512033,0,5016863667
53.008071506,5490943144,10549606,0,5078069860
54.008235872,5439522293,10514477,0,5029015780
55.00839493,5475220735,10544805,0,5063686408
56.008553673,5441640978,10502370,0,5032230291
57.008711213,5454220936,10511612,0,5043036351
58.008879792,5451025879,10524496,0,5041152927
59.009035789,5449021647,10523773,0,5038449336
60.00919677,5435360786,10500352,0,5025535076
61.009351692,5426865976,10488179,0,5018409168
62.009513652,5477739612,10488989,0,5065911675
63.00966529,5465391389,10562203,0,5054038767
64.009807483,5455305565,10513960,0,5044094937
65.009992694,5447814980,10507498,0,5038012165
66.010144475,5455165279,10516936,0,5044194702
67.010289995,5462498841,10525282,0,5050943664
68.010435454,5466978836,10536739,0,5055319754
