time,LLC-store-misses,LLC-stores,instructions
1.000116268,5385646,6031341,9407734857
2.000314252,5425716,6076795,9481282197
3.000471338,5406787,6060831,9480498611
4.000646187,5413612,6062817,9483895455
5.000800835,5427634,6083876,9483133221
6.000951501,5421503,6072381,9469414503
7.001099189,5409443,6062326,9487821889
8.001267079,5432750,6082972,9475965701
9.001426885,5417461,6071985,9468969320
10.001582835,5412895,6063940,9483055940
11.001738209,5411432,6066622,9484868434
12.001889096,5429530,6085587,9481651716
13.002042799,5425754,6086689,9476574876
14.002215748,5408341,6065831,9513035448
15.002369529,5426938,6083982,9482926650
16.002524549,5401785,6058891,9482582078
17.002669767,5407579,6062685,9479162225
18.002821398,5415073,6071254,9482057063
19.002979956,5409097,6061765,9472773860
20.003133396,5433091,6079853,9479515668
21.003309244,5417314,6068939,9483365922
22.003459744,5389194,6033773,9482560723
22.719667049,3870073,4337492,6769719936
