time,r01c2,r010e,cycles,instructions
1.000150444,5558910092,5055476722,2169907745,4607522265
2.000332141,8551638880,7783789397,3336146588,7091654755
3.00052368,8486947837,7748363463,3327132800,7036134037
4.000685216,8539331319,7771843718,3332586094,7079642456
5.000853415,8560082017,7779913392,3334036115,7095983750
6.001026565,8567289302,7782565858,3334579420,7101916499
7.001193778,8571541730,7786750548,3335479498,7105346503
8.001355154,8565532810,7771945857,3335545122,7100662427
9.001513978,8567326706,7772237817,3335752961,7102221229
10.001675271,8570266644,7777346815,3335948973,7104664874
11.001835318,8574640967,7795309475,3337264586,7107865254
12.002010599,8572090667,7794023303,3336913948,7105726798
13.002174047,8563710886,7787264578,3334755701,7098926731
14.002336079,8555097822,7790360129,3335978442,7090022770
15.002496475,8545788827,7790747557,3336703550,7081684197
16.002669142,8544267552,7789004065,3336875107,7080343801
17.002827217,8529903405,7775652540,3329689483,7066763608
18.003003912,8538599068,7784632500,3334307118,7075778494
19.003165773,8513679782,7759682984,3324759647,7055457333
20.003329736,8529565004,7776068350,3336627677,7069537864
21.003498145,8497377958,7758297164,3329138101,7042512997
22.00365813,8507472323,7767970092,3334910447,7052535124
23.003817614,8509824040,7766281302,3336174752,7054582945
24.003980176,8496986360,7759551308,3329252812,7042182381
25.004145145,8504255625,7767523541,3334157388,7049874304
26.004311665,8528621088,7782714034,3337269029,7069021779
27.004480662,8556698119,7792310546,3336247982,7090382482
28.004640668,8567766871,7796580057,3335685247,7098708634
29.004801178,8556087933,7775563206,3334444965,7089215840
30.004979871,8567110140,7793647229,3336102155,7098176056
31.005147267,8563865708,7791687035,3335657478,7095588147
32.005324774,8561461790,7790724160,3334949679,7093581669
33.00548847,8558265812,7782229859,3334663412,7091120207
34.00564795,8556678963,7785841662,3334314154,7089650791
35.005815839,8562715650,7791511672,3336959377,7094767909
36.005980817,8573630008,7802248736,3341174361,7104936017
37.006144536,8558472797,7788441239,3334106108,7091137654
38.006305164,8561405271,7790517590,3334672448,7093497900
39.00646353,8580641127,7796321621,3334561039,7111352124
40.00664374,8596037572,7802616386,3338631475,7124744754
41.006807666,8601130838,7810513900,3339369946,7129600194
42.006972745,8599538442,7810085330,3336808579,7127002870
43.00714033,8603767200,7808224491,3341626205,7132494118
44.007308671,8593732999,7803552913,3335056989,7122245202
45.007471122,8600045754,7810907687,3338180488,7127778993
46.007632713,8597445899,7803627526,3339705247,7126760916
47.007812082,8592907023,7803914288,3335780296,7121594018
48.007992605,8604691729,7816049435,3342049865,7133038913
49.008155974,8593295050,7802322551,3335681168,7122028131
50.008319485,8598833007,7806133026,3337521481,7126467789
51.008482071,8606545435,7817390953,3343417391,7134352380
52.008646127,8595843289,7806237516,3335928113,7123968224
53.008808434,8602935865,7814129611,3341708611,7131539322
54.008991368,8587362427,7796692976,3335491744,7117155900
55.009144677,8593109082,7800465080,3336234528,7121806107
56.009325068,8604956255,7815192471,3342402826,7133155851
57.009488011,8590191639,7790503180,3335158942,7119653873
58.009654733,8593942400,7795129916,3338419486,7122809390
59.009816124,8599296462,7799949618,3340100115,7128638056
60.009994512,8594039193,7794025758,3336526435,7122729715
61.010165555,8602755128,7812382635,3342259987,7131476770
62.010337895,8597405299,7806598277,3337324546,7125295618
63.010504766,8594293095,7798106172,3337555787,7122669559
64.01066654,8605530483,7816519378,3341517422,7133802690
65.010829132,8595297846,7803657045,3336269368,7123644097
66.011004445,8606952453,7811403239,3343682713,7134911276
67.011166146,8593385870,7793611961,3336761715,7122076613
68.011355285,8598974332,7808133720,3339570370,7126920275
69.011517683,8599114845,7810102915,3339871607,7128132239
70.011676405,8597352989,7807543444,3336429116,7125163531
71.011837191,8610333714,7820574660,3343809884,7137501813
72.01201511,8594780089,7798247849,3337911794,7123263742
73.012182342,8594873381,7799222132,3338937937,7123885082
74.012345497,8600245297,7810205457,3339614991,7128845697
75.012510563,8594696675,7805534270,3336412095,7123274669
76.012668282,8604167168,7816425618,3343924940,7133079449
