time,ICACHE.IFETCH_STALL,cycles,CPU_CLK_UNHALTED.THREAD_P,IDQ_UOPS_NOT_DELIVERED.CORE
1.000139845,60805531,1679484977,1679570382,2086864599
2.000320639,68394754,1925795662,1925765666,2378208358
3.000469167,61802892,1750375594,1750384010,2166730428
4.000629146,55760988,1566186619,1566171089,1947624732
5.000831098,72348153,2040998953,2040950658,2523183630
6.001030084,67085439,1860448030,1860503815,2292255948
7.001184113,80246541,2275728450,2275727680,2800860802
8.001337331,80215187,2237745598,2237745530,2748414913
9.00149707,80247156,2256012843,2256013110,2769554591
10.001647267,87427762,2431171974,2431116760,2982637884
11.001806686,81861835,2283133896,2283189129,2804555118
12.002021478,71387017,1979358804,1979303571,2435755454
13.002203807,70880621,1964415962,1964468281,2415119130
14.002362933,77730063,2220634275,2220637067,2728011893
15.002514212,90161861,2587565116,2587567793,3161399794
16.00267371,89932315,2604281020,2604278259,3179008607
17.002828734,90027686,2598636709,2598637622,3177524129
18.002987233,89618376,2585105017,2585103483,3155248489
19.003151591,91969734,2636426552,2636428597,3222274298
20.003296178,90955716,2620720564,2620719935,3199439073
21.003460186,91861392,2642067521,2642066073,3226600012
22.003621209,92116047,2651248590,2651249606,3242320143
23.003773517,90955919,2615639620,2615638983,3194668032
24.003930525,90626910,2594722130,2594720302,3172342360
25.004094879,89209494,2580286270,2580289784,3152882260
26.004251136,91961756,2659545998,2659544368,3251895261
27.004410951,89628340,2607293834,2607295075,3183494285
28.004567166,91662418,2655330462,2655330381,3238308861
29.004723495,89143585,2548500116,2548499333,3132409663
30.00489723,89498406,2580183702,2580188215,3168692306
31.005070654,91047567,2655908404,2655903948,3256379852
32.005230798,114495045,2630364061,2630308818,3217952114
33.005386486,107469491,2627335162,2627389966,3247244022
34.005540754,89701447,2572795839,2572795461,3156608883
35.005690506,93971913,2685795782,2685741356,3297149642
36.005848857,86532242,2472719493,2472774231,3041494751
37.006009677,93282209,2656607168,2656608134,3241365202
38.006165544,89133064,2584590138,2584589042,3156355774
39.00632694,92999062,2652141486,2652140627,3241427799
40.006482943,92064084,2622807405,2622807908,3202719192
41.006656167,90780192,2581756767,2581756199,3157063904
42.00681273,89456003,2594999608,2595007078,3164925594
43.006967342,91396934,2641327338,2641321133,3218384897
44.007121747,91935190,2630625711,2630640903,3212966902
45.007275638,93433125,2634885806,2634875711,3229550010
46.007437185,92038534,2636610955,2636606161,3221027671
47.007612514,91820401,2632207023,2632206156,3214365327
48.007761169,89760541,2578669822,2578669219,3150900348
49.007956852,87816920,2565167888,2565114106,3126028742
50.00814242,91308831,2623779688,2623835554,3210854577
51.008295738,92350430,2672253567,2672253964,3259457082
52.008446787,91707905,2606653620,2606651198,3175935602
53.00860684,87388397,2483124660,2483126374,3027587970
54.008751598,88917716,2515519776,2515517339,3039174897
55.008908865,91306147,2597718885,2597720197,3140527962
56.009060086,92929478,2633519132,2633518462,3193105426
57.009207795,93451596,2662380423,2662385254,3228332746
58.009374804,92006895,2592258551,2592252920,3133765892
59.009550666,91583850,2610754201,2610780147,3160351169
60.009712266,93254083,2648216723,2648192579,3199826827
61.009893498,90371640,2605620751,2605626361,3145353680
62.010054635,91504085,2595233191,2595226837,3134973251
63.010203109,89630705,2552173264,2552175586,3086169066
64.01035876,93447748,2655613806,2655612919,3215394233
65.010508594,87244303,2508993101,2508993186,3026466258
66.010658881,92647125,2642435046,2642437038,3196071070
67.010811162,91341796,2591024783,2590967253,3131027271
68.010968761,91856219,2588991270,2589046260,3125169818
69.011136062,91236563,2574252742,2574255341,3112905317
70.011290722,93093498,2624334880,2624332467,3183251317
71.0114526,90585445,2608366043,2608310867,3152221690
72.011606413,91938743,2623889019,2623943525,3166158186
73.011764344,92710466,2646071463,2646070909,3197061313
74.011916152,86062619,2467836378,2467835594,3007645333
75.012068687,88773933,2566799000,2566800522,3120691992
76.012225259,92196328,2656286319,2656287072,3230437362
77.012387991,89045791,2564754448,2564754497,3121425254
78.012543666,89709036,2584627699,2584625705,3147273502
