time,L2 Instruction Reads,L2 Instruction Read Misses,instructions
1.000105156,26119062,287611,6916977711
2.000278902,26499786,256229,6935276081
3.000430556,25994021,255857,6964410618
4.000575436,25956879,250306,6965452553
5.000716935,25928670,257913,6949246378
6.000859889,25838085,251935,6904620157
7.001003626,26206796,258306,7021962889
8.001150617,25530207,249946,6904715395
9.001298699,26119002,253986,6969793369
10.001439581,25842837,254741,6900534985
11.001581868,25669458,250429,6856069608
12.001732925,25675876,252151,6913276792
13.001891707,25785585,256063,6903097100
14.002051258,25778137,253314,6883075986
15.002207314,25984859,257164,6970585487
16.002349969,25705730,252354,6949743100
17.002490828,25977756,255649,6949178150
18.002636532,25576182,251158,6847247760
19.002778047,25612100,254935,6883880972
20.002924736,25584908,251648,6866372536
21.003084686,25866054,253729,6921771379
22.003236565,25873506,257885,6970798245
23.003384802,25894617,257292,6988268609
24.003548115,26127355,256364,6973484310
25.003698702,26233670,257043,7005355162
26.003843122,25913014,254522,6942149146
27.0039924,25921269,256341,6961790729
28.004134697,26285463,256198,6961324068
29.004281359,26677395,251808,6905651764
30.004435302,27055926,254085,7012111420
31.00457791,27047704,254765,7007803465
32.004728668,26923792,255664,6966443092
33.004874136,27004791,253652,6992373562
34.005029245,27006256,254905,6993904197
35.005169702,26259908,255698,6920862370
36.005319824,25778796,254037,6940931916
37.005466614,26996561,254048,6982543190
38.005612509,26269531,254552,6943759174
39.005758608,26080993,254811,6978249742
40.005903211,26420444,253963,6999705126
41.006045992,26062046,255202,6927967587
42.006217038,26565332,252623,6935670219
43.006367077,26042271,252530,6928770626
44.006514666,26361701,257258,7009444128
45.006656234,26460657,254095,7010187058
46.006815663,26307013,257279,7021647063
47.006967392,26350238,257854,7024873037
48.007116743,26123244,251837,6934563131
49.007261144,26096593,252505,6911255254
50.007406924,26307419,249888,6853638856
51.007551139,26211296,258408,7017219304
52.007693691,26441452,254443,7017500015
53.007835813,26931081,255337,7040171898
54.007979022,26729294,249543,6911007770
55.008125433,26412280,253299,6927855754
56.008272346,26058282,251684,6923505225
57.008418432,26331367,252916,6994254545
58.008566679,25943680,254790,6920876751
59.008709072,25948194,248209,6870118623
60.008861608,26218859,251072,6971865203
61.009014523,26773350,254135,6999054525
62.009168722,26843764,253838,6952919221
63.009317303,26556514,258808,7051889732
64.009467096,26308017,253052,7025978297
65.009609253,26170354,252896,6969501163
66.00976159,26643909,250709,6922289823
67.009934724,27118661,255457,7008473515
68.010083429,26874643,248124,6950141054
69.010235573,26487736,257671,7025348797
70.010385478,26216418,257984,6942305251
71.010527386,25946672,252502,6929254418
72.010678922,26411384,256038,7034921815
73.010837025,26887624,254361,6998185162
74.010981944,26269274,246596,6856297935
75.011127483,26333866,256114,7012688589
76.011268677,26815121,256004,7018999249
77.011410891,27097259,259998,7017294079
78.011554374,26575771,255475,6909700464
79.011698559,26109807,257640,6925752628
80.011841659,26062999,250660,6910364723
81.011994921,26636878,258068,7062884344
82.012148674,26457562,255665,7029262451
83.012290421,26410430,251707,6999637788
84.012442039,26360833,254281,6978979082
85.012589138,26222910,258204,6945814965
86.012732965,25906012,251633,6927824572
87.012877245,25868051,254505,6995039799
88.013020218,26222199,256987,6967087821
89.013169192,26242480,255206,6952547393
90.013319303,26223164,255045,6992573917
91.013476882,26591845,259210,7049422760
92.013627959,26344489,256036,7041784861
93.01377219,26157773,254810,7007338054
94.013920924,26300134,257834,6988879329
95.014066451,26358129,253332,6979997335
96.014216098,26296473,251787,6954517094
97.014371555,26139760,256348,6995006321
98.014522334,25816864,250380,6913353205
99.014678042,26437400,257940,7015684429
100.014830484,26294710,255304,7035235217
101.014975434,26405130,255790,6993799562
102.015147601,26271379,253893,6984668438
103.015310467,26352380,254632,7012018493
104.01546589,26519421,255339,7039369767
105.015610008,26437240,252572,7016114344
106.015759995,26564943,261171,7053147234
107.015899863,26209068,254745,7005320196
108.016048986,26360189,255507,6992575604
109.016192245,26073769,254471,6914110039
110.016337485,25848108,250431,6851510037
111.016490634,26427851,259692,7046061169
112.016648852,26609747,256643,7042197956
113.016792301,26129822,257296,7021785033
114.016944008,26309108,256281,7012455672
115.017089271,25737541,255663,6934333401
116.017232805,26037412,257550,6936550233
117.017376836,26348969,254770,6990588038
118.017528177,26137173,256032,6980740176
119.0176796,26238671,261010,7042643662
120.017837465,26270098,257393,7039915262
121.017992245,26341484,252667,7000339947
122.01815021,26154656,253330,6958099212
123.018291068,26113375,254804,7012170083
124.018434348,26344919,254489,6993800946
125.018579165,26236748,254339,6965625731
126.018715713,26047292,250406,6889210385
127.018869782,26540976,256338,7032847729
128.01901197,26382191,259027,7028422765
129.019159174,27083510,254851,7013254362
130.019309321,26793900,256134,6936924605
131.019451353,26733646,256433,6912198393
132.019598434,26182710,250791,6901077023
133.01974467,25756586,253648,6890885582
134.019887369,26005460,253224,6885411798
135.020029432,26285838,255562,6961033518
136.020204998,26437490,258101,7009690315
137.020350893,26963033,251711,6958987102
138.020494182,26286271,253444,6919231568
139.020651168,26012373,255933,6893537120
140.020798327,25888291,252557,6876152188
141.020938077,26281837,255160,6963099984
142.021085701,26193346,256310,6956691956
143.021254537,25778979,253814,6870613871
144.021407258,26269799,258714,6973581608
145.021562765,26215320,258464,6954151584
145.044505646,573842,9685,152499655
