time,L2 RFOs,L2 RFO Misses,instructions
1.000124946,9384605,6253315,6629913941
2.000601226,9282754,6191374,6567557989
3.000744947,9210597,6139872,6523544999
4.000892301,9183556,6122473,6516816205
5.001037201,9397001,6279324,6679277021
6.001186516,9188735,6130318,6520363254
7.001341668,9230438,6177172,6571363767
8.001484895,9174364,6128334,6543631789
9.001632541,9278495,6215111,6627495937
10.001774863,9377076,6262783,6681896812
11.001917216,9155023,6136269,6558242216
12.002055285,9156079,6136822,6558340827
13.002199603,9227058,6173024,6583614016
14.002342225,9119457,6113116,6553816730
15.002483099,9342614,6267849,6707150275
16.002626911,9339839,6274677,6720796307
17.002772987,9227368,6169239,6571416321
18.00291761,9159723,6139280,6576875025
19.003067379,9234794,6181668,6582198516
20.003213989,9221078,6163649,6576589244
21.003376276,9180564,6152620,6598779278
22.003521825,9136368,6104578,6528685574
23.00366553,9167837,6132031,6545177404
24.003807026,9146819,6129688,6550790395
25.003950634,9201205,6157989,6595738175
26.004097734,9162892,6149322,6576513844
27.004242236,9160888,6133299,6545822511
28.004381028,9161861,6139184,6542680257
29.004521506,9201966,6152488,6560815492
30.004661716,9135230,6127436,6568652511
31.004804187,9201646,6164437,6579415607
32.004947855,9135560,6117932,6540324375
33.005091265,9243254,6206755,6650309663
34.005232996,9149756,6118600,6525048696
35.005375023,9154889,6151207,6555529447
36.005528187,9210497,6163065,6583657714
37.005674386,9254276,6190847,6604286733
38.005816206,9198059,6154246,6584342170
39.005953742,9134561,6120033,6554676468
40.006089674,9172514,6139885,6540014661
41.006227035,9170131,6137332,6545574866
42.00638254,9224216,6176903,6597257513
43.00653624,9224715,6181520,6610317512
44.006681493,9168640,6129797,6523133739
45.006824716,9193396,6151597,6572876103
46.006968494,9153826,6143290,6556862647
47.007109977,9133902,6139336,6562876504
48.007250571,9138793,6121932,6564281061
49.0073982,9232443,6185129,6614452832
50.007543933,9231438,6187846,6618562420
50.258326762,2289289,1533303,1635532657
