time,L2 Read Hits,L2 Reads,instructions
1.000107272,20201140,26491169,5873913849
2.000297651,20633191,27034556,5991312739
3.000442656,20851320,27341717,6053721682
4.000589555,20564312,26950165,5963112409
5.00074469,20595073,26973417,5982250950
6.00089349,20827426,27319863,6048748566
7.001041383,20806677,27250154,6045247948
8.001189234,20595598,26975650,5981451537
9.001332738,20725857,27151928,6005095570
10.001477316,20445474,26795246,5931721147
11.001619466,20689668,27080198,6003482203
12.00176638,20367484,26684317,5922135309
13.001913211,20458976,26814002,5935988820
14.00205712,20314362,26609944,5898136128
15.002200596,20720035,27140011,6010662506
16.002346326,20423794,26779588,5932979371
17.00248883,20452166,26812444,5952041880
18.002636919,20382386,26706468,5928475731
19.002783488,20574398,26930363,5985494718
20.002933517,20756438,27202370,6020261216
21.003095759,20795064,27198751,6056494420
22.003244807,20475780,26843382,5940921345
23.003390404,20640890,26983275,6015751618
24.003544535,20474835,26756381,5958247689
25.003687845,20778203,27125021,6063130156
26.003833122,20284499,26486671,5914137286
27.00397779,20607199,26950618,5992164418
28.004127737,20490506,26776719,5948435062
29.004278739,20432728,26713878,5923793682
30.004425561,20562636,26893220,5991832485
31.004573972,20375589,26660413,5916995512
32.004719455,20389753,26658148,5934311349
33.004865818,20445243,26717678,5965011850
34.005019377,20441854,26747543,5951036954
35.005174856,20336757,26589959,5922338756
36.005328575,20615451,26955076,5997047281
37.005471344,20538197,26872457,5976819484
38.005615507,20350532,26604645,5918015146
39.005764562,20369056,26628334,5927298807
40.005910202,20457515,26747385,5966282272
41.006056668,20290496,26539576,5899752041
42.006218122,20412069,26671045,5932439387
43.006360636,20850056,27262747,6071769536
44.006508107,20322884,26556552,5916121674
45.006662594,20510246,26826091,5963130011
46.006808469,20563811,26890529,5980956065
47.006954972,20360594,26600095,5924695651
48.007102151,20294548,26516222,5917208781
49.007245138,20297547,26553363,5891822196
50.007393657,20269617,26502728,5892228233
51.007538722,20334264,26576069,5926094726
52.00768204,20471357,26747841,5959537828
53.007827751,20244027,26482215,5889612814
54.007976196,20327475,26562532,5921824962
55.008119938,20275783,26534672,5904436692
56.008268391,20294530,26514553,5917307211
57.008416869,20488065,26778919,5954148141
58.008562006,20452376,26745468,5953397185
59.008718707,20585686,26917016,6013343833
60.008862677,20383932,26668774,5942751856
61.009007153,20280658,26539394,5892462105
62.009165678,20277612,26525107,5909002113
63.009309174,20500870,26827682,5978716057
64.009459957,20393069,26694890,5948948338
65.009604689,20273528,26528103,5903357847
66.009749842,20453059,26765687,5964470186
67.009892932,20416355,26705786,5936037733
68.010041025,20418369,26692649,5939158034
69.010192183,20458311,26757405,5956796787
70.010341767,20644106,27012800,6015447662
71.010495779,20609202,26946132,6009486346
72.010642706,20401342,26671064,5935789871
73.01078814,20267355,26513534,5907805971
74.010933669,20273307,26512948,5911851704
75.011079517,20467301,26812120,5977277900
76.011224008,20810178,27166431,6076126232
77.011373598,20880214,27272061,6077469372
78.011522625,20271126,26494224,5893059507
79.011672974,20352885,26603411,5921231044
80.011819082,20321667,26571409,5931270798
81.011968184,20457790,26748543,5955412566
82.012137549,20449453,26736519,5954399167
83.012295496,20320370,26582602,5905872345
83.453985745,8944645,11699005,2604845427
