time,cycles,CPU_CLK_UNHALTED.THREAD_P,IDQ_UOPS_NOT_DELIVERED.CORE
1.000127922,3122058234,3122123720,783484203
2.000300903,3178138330,3178104981,797144801
3.000455381,3212350984,3212351926,805109359
4.000608694,3162438168,3162437736,791302208
5.000763719,3185263608,3185261808,798150382
6.000916761,3148390552,3148391374,788957232
7.001067295,3157702968,3157704424,792133071
8.001233875,3175137671,3175137694,797149880
9.001387908,3122129018,3122129286,785646213
10.001543803,3207812258,3207811526,805624415
11.00169332,3169305418,3169304283,797277769
12.001844831,3129293343,3129294779,786375225
13.002007196,3149166304,3149166275,786206867
14.002172677,3174739757,3174739007,792362084
15.002320436,3135134174,3135135391,786269324
16.002470637,3203127716,3203126880,805437524
17.00263456,3240722358,3240721924,809781149
18.002792531,3154770263,3154770205,791956153
19.002945371,3133103819,3133103517,781725525
20.003097564,3145372315,3145372655,788408594
21.00326107,3122058235,3122059609,781778775
22.003412367,3229852184,3229850714,806397424
23.003571245,3158336459,3158387665,791668918
24.003726824,3161638845,3161588111,792648418
25.003877731,3119068433,3119068819,783826296
26.004041032,3173857554,3173855454,797060103
27.004196623,3168761362,3168762762,793382723
28.004346605,3163488871,3163488782,795925871
29.004494153,3220097457,3220101589,804254000
30.004647672,3142134711,3142130521,785191976
31.004800708,3161574740,3161576109,793638044
32.004969519,3176501109,3176500987,798021112
33.005120831,3177903157,3177901983,795881166
34.005274303,3199918275,3199918695,802357491
35.005430866,3162568858,3162615766,790673332
36.005585649,3159727477,3159683197,794038151
37.005767007,3166684305,3166726401,795003304
38.005925497,3160059926,3160060417,791607238
39.006073871,3105882136,3105837571,778070297
40.006228929,3222604844,3222604875,803659592
41.006380778,3179724390,3179724161,798666902
42.006546006,3155177063,3155176930,787719533
43.006696603,3196269466,3196269588,800225459
44.006863375,3176539558,3176538569,795548095
45.007020431,3206620446,3206621790,800427704
46.007174622,3174835087,3174879036,802529183
47.007326653,3160650204,3160604213,800210829
48.007477142,3159510086,3159512813,799188973
49.007631965,3173073814,3173120741,803453892
50.00778359,3247354269,3247305848,818548229
51.00799206,3160679512,3160680739,792344626
52.008139882,3188541819,3188542233,796584833
53.008289006,3141722561,3141719835,787069545
54.008438575,3204108584,3204109077,802883261
55.008588133,3145208780,3145210125,789691544
56.008754358,3182695159,3182740098,795220644
57.008916072,3161452087,3161465274,791870361
58.009069813,3147096910,3147037469,790520500
59.009217667,3177211595,3177212206,794126221
60.009359536,3167101499,3167102527,791300310
61.009510822,3161829128,3161827054,794533666
