time,IDQ.EMPTY,ICACHE.IFETCH_STALL,cycles
1.000138418,368300274,83033571,5107198549
2.000316936,360844498,81599660,5120930393
3.000477096,358983723,80702204,5106117173
4.000632679,361519429,81259543,5123882707
5.000812884,365641363,83227700,5143495855
6.000971442,363944004,81582769,5122438583
7.0011257,364541071,81760643,5125935288
8.00127845,359619668,79827451,5099569932
9.001444826,363175933,81148864,5146763551
10.00159863,362562225,80848807,5135497838
11.001751473,358749565,78680508,5107184117
12.001910596,359187454,79948548,5095769876
13.002066012,365119717,83196632,5103935177
14.002217549,361687862,79844780,5097953351
15.002370397,359267835,78907366,5106996747
16.002521535,358472093,78892804,5106851540
17.002673414,361696608,80186813,5124325551
18.002846985,362350923,81081010,5113495782
19.003010112,364137572,81789241,5127086712
20.003162338,360246258,80556873,5090760860
21.003333281,362461542,81169625,5120712715
22.003488063,360521097,79915548,5103185578
23.003644128,364120056,83682329,5102500994
23.476055893,173931697,39890094,2436807252
