time,instructions(system mode),instructions(user mode),cycles(user mode),cycles(system mode)
1.000313015,190473193,6023478570,2925851892,746274263
2.000670669,17696646,6767000559,3283037239,93790388
3.000996243,18643833,6743527933,3281788941,95424500
4.00132307,17683291,6781079140,3286875617,94437518
5.001651818,39411461,6696621803,3278147961,198806932
6.001987225,17578693,6813870046,3287826793,93295179
7.002276839,17403957,6801000055,3288067321,91968010
8.00260484,17762370,6797915766,3282587259,94485043
9.002934073,17457029,6803312904,3288216102,92514595
10.003260336,17179677,6805471374,3282666167,90978921
11.003583347,17599587,6804349496,3288679275,93046863
12.003906018,17626269,6788797073,3282176597,93091035
13.004239616,18688445,6794669862,3286937585,95847317
14.004570515,17488753,6788088466,3283247974,92989865
15.004898929,17389371,6781014134,3286646441,93495963
16.005241657,17392297,6754931141,3281008249,93477507
17.005565411,17863223,6758558526,3281171232,95191735
18.005895496,17564536,6778795458,3287009632,93528815
19.006178414,17478697,6773020330,3280527114,93753569
20.006510435,17799911,6775385281,3286833368,94712992
21.006837464,17056803,6757784664,3282752946,90680626
22.007162864,17484139,6746021356,3282263687,92762821
23.007435651,18998699,6746969913,3280833508,97494041
24.007761359,17726254,6758833593,3284579872,95582698
25.008100575,17359282,6741038819,3281741431,93322953
26.00842869,17316198,6755201367,3283216521,92604915
27.008707062,17481812,6759633612,3287155090,93529658
28.009006264,18203965,6771636690,3284933867,97212871
29.009341076,17710146,6794644628,3287560389,93889925
30.009632253,17321951,6794089091,3284415118,91218759
31.009976999,17004084,6796856170,3288005065,89727371
32.010310021,17803516,6790856468,3287208337,95152800
33.010601633,18274851,6786318419,3281813749,94050002
34.010932997,17562422,6789000502,3286580759,94362908
35.011274892,17791993,6799584275,3288342051,94753691
36.011601882,17333477,6784765977,3281453460,92962572
37.011933787,17514209,6786269497,3286180334,94542819
38.012276424,30431519,6795411475,3290756042,111279011
39.012603753,17230078,6779212650,3282209352,91718648
40.012937369,17456499,6801505146,3287096272,92519560
41.01327406,17813982,6815745298,3287485306,94047991
42.013605561,17271978,6824317667,3288962811,91012711
43.013934604,18688934,6806163029,3287673344,95778329
44.014279471,17804081,6804878433,3284607558,95159162
45.014585929,17041028,6808903481,3286818345,89638609
46.014922084,17233501,6816356530,3289193269,90871013
47.015419183,18058633,6815426187,3288023557,95364797
48.015754778,17699172,6809724478,3285891179,95411074
49.016088634,17449703,6823904630,3288625864,92307099
50.016420937,17465373,6824416240,3289902597,92184877
51.016756779,17301482,6819590490,3288879701,91280444
52.017085638,17691297,6820849953,3286892173,94354621
53.017413923,18907276,6819030795,3287697458,97245282
54.017695452,17465187,6806897070,3284332170,94055185
55.01802582,17320595,6804776723,3285843727,92212972
56.018363108,17707117,6811210184,3287653096,94702997
57.018689606,17293875,6813913346,3288881711,91704075
58.019027137,17673797,6813873933,3287198097,94993282
59.019353535,17652918,6812649345,3288129692,93903373
60.019686637,17494806,6822737401,3288289005,92531332
61.019960736,17247960,6818514732,3289097877,91081378
62.020232286,17361391,6817097446,3288804852,91689616
63.020510626,18390480,6816139567,3284938878,94084545
64.020850929,17375630,6819964941,3285659984,92889756
65.021188146,17587926,6824077562,3289395877,92503098
66.021514814,17134380,6819044096,3289638981,90089739
67.021840543,17268639,6834082715,3289714108,90255534
68.022166313,17732267,6818761552,3288790105,94089857
69.022446504,17239248,6829948938,3288984863,90867347
70.022784114,17366754,6822690918,3288769953,91592280
71.023043595,17567758,6827105295,3289357588,92125478
72.023375377,17584599,6818522924,3288408247,92333773
